,Age [ka BP],ln(Zr/Rb),SS [um],ACC strength [m/s],ACC strength [%],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
98,49.5,1.0225,15.2919,5.1896,65.658,-1.3846695652173953,-1.8831506086956578,-0.2630872173913048,-8.303083915444002,-1.0523488695652203,-8.303083915444,-1.9523840869565272
99,50.0,1.0267,15.302,5.2069,65.876,-1.3745695652173957,-1.8694146086956582,-0.261168217391305,-8.242519901001454,-1.0446728695652208,-8.242519901001454,-1.938143086956528
100,50.5,1.0197,15.2852,5.1782,65.514,-1.3913695652173956,-1.8922626086956582,-0.2643602173913051,-8.343260043836585,-1.0574408695652207,-8.343260043836585,-1.9618310869565276
101,51.0,1.0488,15.3551,5.2968,67.014,-1.3214695652173951,-1.7971986086956575,-0.251079217391305,-7.924109092397555,-1.0043168695652203,-7.924109092397555,-1.863272086956527
102,51.5,1.06,15.3822,5.3426,67.594,-1.294369565217396,-1.7603426086956588,-0.24593021739130538,-7.761605647705178,-0.9837208695652211,-7.761605647705178,-1.8250610869565285
103,52.0,1.0904,15.4552,5.4665,69.161,-1.2213695652173957,-1.6610626086956584,-0.2320602173913051,-7.323865741338237,-0.9282408695652208,-7.323865741338237,-1.7221310869565278
104,52.5,1.0991,15.4763,5.5023,69.614,-1.2002695652173951,-1.6323666086956574,-0.22805121739130518,-7.197340919086967,-0.9122048695652203,-7.197340919086967,-1.692380086956527
105,53.0,1.0698,15.4058,5.3828,68.102,-1.270769565217396,-1.7282466086956587,-0.24144621739130523,-7.620089732770112,-0.965784869565221,-7.620089732770112,-1.7917850869565284
106,53.5,1.0365,15.3257,5.2469,66.383,-1.3508695652173959,-1.8371826086956584,-0.2566652173913051,-8.100404342359038,-1.0266608695652208,-8.100404342359038,-1.9047260869565281
107,54.0,1.0274,15.3036,5.2095,65.909,-1.3729695652173959,-1.8672386086956585,-0.2608642173913054,-8.232925601683824,-1.0434568695652209,-8.232925601683824,-1.9358870869565281
108,54.5,1.0014,15.2411,5.1036,64.569,-1.4354695652173959,-1.9522386086956585,-0.27273921739130524,-8.607702918778806,-1.090956869565221,-8.607702918778806,-2.024012086956528
109,55.0,1.0227,15.2924,5.1905,65.67,-1.3841695652173946,-1.8824706086956569,-0.26299221739130485,-8.300085696907237,-1.0519688695652198,-8.300085696907237,-1.9516790869565264
110,55.5,1.0025,15.2437,5.1079,64.624,-1.4328695652173948,-1.9487026086956571,-0.272245217391305,-8.592112182387648,-1.08898086956522,-8.592112182387648,-2.0203460869565264
111,56.0,0.9854,15.2025,5.0381,63.741,-1.4740695652173947,-2.004734608695657,-0.28007321739130475,-8.83916538981666,-1.1202928695652201,-8.83916538981666,-2.0784380869565267
112,56.5,0.9688,15.1626,4.9706,62.887,-1.513969565217396,-2.0589986086956586,-0.28765421739130526,-9.078423229050102,-1.1506168695652208,-9.078423229050102,-2.1346970869565283
113,57.0,0.9966,15.2295,5.0839,64.321,-1.4470695652173955,-1.968014608695658,-0.2749432173913049,-8.677261588831632,-1.0997728695652207,-8.677261588831634,-2.0403680869565277
114,57.5,0.9979,15.2327,5.0894,64.39,-1.4438695652173958,-1.9636626086956586,-0.2743352173913052,-8.658072990196372,-1.097340869565221,-8.658072990196372,-2.035856086956528
115,58.0,0.9845,15.2003,5.0345,63.695,-1.476269565217395,-2.0077266086956573,-0.280491217391305,-8.852357551378406,-1.1219648695652202,-8.852357551378406,-2.081540086956527
116,58.5,1.0032,15.2454,5.1108,64.661,-1.4311695652173952,-1.9463906086956577,-0.2719222173913052,-8.581918239362668,-1.0876888695652205,-8.581918239362668,-2.017949086956527
117,59.0,1.0295,15.3088,5.2184,66.022,-1.3677695652173956,-1.860166608695658,-0.25987621739130495,-8.20174412890152,-1.0395048695652207,-8.20174412890152,-1.9285550869565276
118,59.5,1.0255,15.299,5.2018,65.812,-1.3775695652173958,-1.8734946086956585,-0.261738217391305,-8.260509212222015,-1.0469528695652208,-8.260509212222015,-1.942373086956528
119,60.0,1.0448,15.3457,5.2808,66.812,-1.3308695652173945,-1.8099826086956567,-0.25286521739130485,-7.980475600888637,-1.0114608695652199,-7.980475600888637,-1.8765260869565261
120,60.5,1.0508,15.36,5.3051,67.119,-1.3165695652173959,-1.7905346086956586,-0.250148217391305,-7.894726550737313,-1.0005928695652209,-7.894726550737313,-1.8563630869565282
121,61.0,1.0461,15.3487,5.286,66.877,-1.3278695652173962,-1.8059026086956589,-0.2522952173913051,-7.962486289668087,-1.0091808695652211,-7.962486289668087,-1.8722960869565286
122,61.5,1.0156,15.2752,5.1614,65.301,-1.4013695652173954,-1.9058626086956578,-0.26626021739130534,-8.403224414571781,-1.0650408695652205,-8.403224414571781,-1.9759310869565274
123,62.0,1.0288,15.307,5.2152,65.982,-1.369569565217395,-1.8626146086956572,-0.260218217391305,-8.212537715633852,-1.04087286956522,-8.212537715633852,-1.9310930869565268
124,62.5,1.0667,15.3982,5.3699,67.939,-1.278369565217396,-1.7385826086956588,-0.24289021739130523,-7.665662654528862,-0.971560869565221,-7.6656626545288615,-1.8025010869565283
125,63.0,1.0695,15.405,5.3813,68.083,-1.271569565217396,-1.7293346086956587,-0.24159821739130516,-7.624886882428927,-0.966392869565221,-7.624886882428927,-1.7929130869565282
126,63.5,1.0543,15.3685,5.3194,67.3,-1.3080695652173961,-1.7789746086956588,-0.2485332173913053,-7.843756835612398,-0.9941328695652211,-7.843756835612398,-1.8443780869565285
127,64.0,1.0313,15.3131,5.2257,66.114,-1.363469565217395,-1.8543186086956573,-0.2590592173913049,-8.175959449485383,-1.0362368695652202,-8.175959449485381,-1.9224920869565267
128,64.5,1.0128,15.2685,5.15,65.157,-1.4080695652173958,-1.9149746086956585,-0.267533217391305,-8.443400542964365,-1.0701328695652208,-8.443400542964365,-1.9853780869565278
129,65.0,1.0187,15.2827,5.174,65.46,-1.3938695652173951,-1.8956626086956576,-0.2648352173913051,-8.358251136520382,-1.0593408695652202,-8.358251136520382,-1.965356086956527
130,65.5,1.0313,15.3131,5.2256,66.114,-1.363469565217395,-1.8543186086956573,-0.2590592173913049,-8.175959449485383,-1.0362368695652202,-8.175959449485381,-1.9224920869565267
131,66.0,1.0471,15.3512,5.2901,66.93,-1.325369565217395,-1.8025026086956573,-0.2518202173913051,-7.94749519698428,-1.0072808695652202,-7.947495196984282,-1.8687710869565266
132,66.5,1.0472,15.3512,5.2902,66.931,-1.325369565217395,-1.8025026086956573,-0.2518202173913051,-7.94749519698428,-1.0072808695652202,-7.947495196984282,-1.8687710869565266
133,67.0,1.0176,15.2802,5.1698,65.407,-1.3963695652173946,-1.8990626086956568,-0.2653102173913049,-8.373242229204179,-1.06124086956522,-8.373242229204179,-1.9688810869565263
134,67.5,1.0197,15.2852,5.1784,65.516,-1.3913695652173956,-1.8922626086956582,-0.2643602173913051,-8.343260043836585,-1.0574408695652207,-8.343260043836585,-1.9618310869565276
135,68.0,1.0556,15.3715,5.3245,67.365,-1.305069565217396,-1.7748946086956587,-0.2479632173913051,-7.825767524391837,-0.991852869565221,-7.825767524391837,-1.8401480869565283
136,68.5,1.0835,15.4386,5.4384,68.805,-1.237969565217396,-1.6836386086956587,-0.2352142173913052,-7.4234065967586655,-0.9408568695652211,-7.4234065967586655,-1.7455370869565283
137,69.0,1.1055,15.4917,5.5284,69.944,-1.1848695652173955,-1.611422608695658,-0.22512521739130498,-7.104995788154765,-0.9005008695652206,-7.104995788154765,-1.6706660869565275
138,69.5,1.1322,15.556,5.6373,71.322,-1.1205695652173961,-1.523974608695659,-0.21290821739130505,-6.719424884327453,-0.8516328695652211,-6.719424884327453,-1.5800030869565285
139,70.0,1.167,15.6398,5.7793,73.119,-1.036769565217396,-1.4100066086956586,-0.19698621739130528,-6.2169234575665,-0.787944869565221,-6.216923457566501,-1.4618450869565283
140,70.5,1.1881,15.6906,5.8655,74.209,-0.9859695652173954,-1.340918608695658,-0.18733421739130507,-5.9123044542316965,-0.7493368695652205,-5.912304454231696,-1.3902170869565276
141,71.0,1.2569,15.8562,6.146,77.758,-0.8203695652173959,-1.1157026086956585,-0.15587021739130513,-4.9192944748568355,-0.6234808695652209,-4.919294474856835,-1.156721086956528
142,71.5,1.3463,16.0716,6.5112,82.378,-0.6049695652173952,-0.8227586086956575,-0.114944217391305,-3.6276619292206864,-0.45977686956522035,-3.627661929220686,-0.8530070869565272
143,72.0,1.4065,16.2163,6.7565,85.482,-0.4602695652173949,-0.6259666086956571,-0.08745121739130501,-2.7599774846823832,-0.34980486956522017,-2.7599774846823832,-0.6489800869565268
144,72.5,1.4388,16.2942,6.8885,87.152,-0.3823695652173953,-0.5200226086956576,-0.07265021739130506,-2.2928550366552,-0.2906008695652204,-2.2928550366552,-0.5391410869565273
145,73.0,1.5018,16.4459,7.1455,90.404,-0.23066956521739357,-0.31371060869565526,-0.043827217391304796,-1.3831955326022505,-0.17530886956521913,-1.3831955326022505,-0.3252440869565249
