,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std,LR04_age,SS_unitv,SS_dHolocene,SS_offset,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
82,MD02-2588-82.5,0.825,0.825,4.230773567,0.057578887,,2.973889116,1.044266127,,2.582235394,15.91180454,28.2438,,28.73,3.2120779286457397,6.730886666666663,28.2438,8.480917199999995,1.2115595999999993,31.287657614635776,8.81746153333333
83,MD02-2588-83.5,0.835,0.835,4.311932861,0.112861084,,2.815487782,0.852589584,,2.017654477,12.43284161,25.6583,,28.869999999999997,1.9321553550106096,4.1453866666666634,25.6583,5.223187199999996,0.7461695999999991,19.26929469028988,5.430456533333329
84,MD02-2588-84.5,0.845,0.845,4.29026777,0.159965967,,2.757321746,0.981140919,,0.662855249,4.084532023,23.9918,,29.009999999999998,1.1071733519307627,2.4788866666666642,23.9918,3.1233971999999968,0.4461995999999995,11.522784609677833,3.2473415333333304
85,MD02-2588-85.5,0.855,0.855,4.302494345,0.15392282,,2.966806222,0.698838961,,3.729277744,14.1827554,29.2671,,29.15,3.71865103620746,7.754186666666662,29.2671,9.770275199999995,1.3957535999999973,36.04433554172267,10.157984533333329
86,MD02-2588-86.5,0.865,0.865,4.276930934,0.153628932,,2.748558472,0.802598833,,1.865073583,5.129397974,22.8383,,29.377,0.5361462048844954,1.3253866666666632,22.8383,1.6699871999999956,0.23856959999999927,6.1608887933045935,1.7362565333333289
87,MD02-2588-87.5,0.875,0.875,4.378236367,0.023740077,,2.761136283,0.798474746,,2.833801944,7.793632425,22.5603,,29.691,0.39852544469475853,1.0473866666666645,22.5603,1.3197071999999972,0.18852959999999963,4.868641687147894,1.3720765333333305
88,MD02-2588-88.5,0.885,0.885,4.281332611,0.149288732,,,,,3.836713967,10.55188011,22.1346,,30.005,0.1877874676704002,0.6216866666666618,22.1346,0.783325199999994,0.1119035999999991,2.8898302012093593,0.814409533333327
89,MD02-2588-89.5,0.895,0.895,4.317657734,0.229149576,,2.829305653,0.94638834,,3.029006025,8.330490288,25.7631,,30.319,1.9840354113699068,4.250186666666664,25.7631,5.355235199999997,0.7650335999999989,19.756443959085644,5.567744533333331
90,MD02-2588-90.5,0.905,0.905,4.266537045,0.164771428,,2.684761198,0.904654023,,1.637130111,4.502498964,26.2417,,30.633,2.2209609359267715,4.7287866666666645,26.2417,5.958271199999997,0.8511815999999994,21.981154264864777,6.194710533333331
91,MD02-2588-91.5,0.915,0.915,4.201538607,-0.002936529,,2.816069776,0.943754887,,1.923473243,5.290010993,25.2293,,30.947000000000003,1.7197837502573805,3.7163866666666614,25.2293,4.682647199999994,0.6689495999999986,17.275143580429344,4.868466533333327
92,MD02-2588-92.5,0.925,0.925,4.216286342,0.154733034,,2.72728611,0.974058271,,1.736326429,4.775312541,28.5451,,31.261000000000003,3.3612330906787187,7.032186666666664,28.5451,8.860555199999997,1.2657936000000003,32.688211762423606,9.21216453333333
93,MD02-2588-93.5,0.935,0.935,4.171330444,0.107320162,,2.683639755,0.996926765,,1.907385822,5.245766741,21.0059,,31.575000000000003,-0.37096271947404763,-0.5070133333333366,21.0059,-0.6388368000000042,-0.09126240000000052,-2.3567860172045654,-0.6641874666666711
94,MD02-2588-94.5,0.945,0.945,4.241950399,0.12457811,,2.769831505,0.822262338,,1.283532281,3.530020446,26.7512,,31.889,2.473183156490337,5.238286666666664,26.7512,6.600241199999997,0.9428915999999985,24.349499231004494,6.86215553333333
95,MD02-2588-95.5,0.955,0.955,4.251827253,0.257913543,,2.699379979,0.721606066,,3.117172279,4.896833462,23.3905,,32.203,0.8095065781822397,1.8775866666666623,23.3905,2.3657591999999945,0.3379655999999991,8.727719196253267,2.4596385333333277
96,MD02-2588-96.5,0.965,0.965,4.342095545,0.161212218,,2.10219099,0.670824362,,3.07652865,3.382535894,25.9304,,32.7525,2.066855386836607,4.417486666666662,25.9304,5.5660331999999935,0.7951475999999991,20.534116408222385,5.786907533333327
