Sample ID,Mid depth CCSF-361-U1475-BCDEF-20160305 (m),SS mean,SS Std
"361-U1475E-3H-3, 92-94",20.379,25.975,0.148492424
"361-U1475E-3H-3, 96-98",20.419,25.91,0.028284271
"361-U1475E-3H-3, 100-102",20.459,26.28,0.028284271
"361-U1475E-3H-3, 104-106",20.499,26.065,0.205060967
"361-U1475E-3H-3, 108-110",20.539,24.53,0.259422435
"361-U1475E-3H-3, 112-114",20.579,23.46,0.268514432
"361-U1475E-3H-3, 116-118",20.619,25.63666667,0.191398363
"361-U1475E-3H-3, 120-122",20.659,21.77,0.042426407
"361-U1475E-3H-3, 124-126",20.699,23.24,0.042426407
"361-U1475E-3H-3, 128-130",20.739,22.795,0.06363961
"361-U1475E-3H-3, 132-134",20.779,22.22,0.155563492
"361-U1475E-3H-3, 136-138",20.819,22.09333333,0.284312035
"361-U1475E-3H-3, 140-142",20.859,22.205,0.06363961
"361-U1475E-3H-3, 144-146",20.899,21.905,0.120208153
"361-U1475E-3H-3, 148-150",20.939,23.075,0.035355339
"361-U1475E-3H-4, 2-4",20.979,21.615,0.190918831
"361-U1475E-3H-4, 6-8",21.019,22.84,0.056568542
"361-U1475E-3H-4, 10-12",21.059,22.635,0.106066017
"361-U1475E-3H-4, 14-16",21.099,24.53,0.084852814
"361-U1475E-3H-4, 18-20",21.139,24.13666667,0.280059517
"361-U1475E-3H-4, 22-24",21.179,23.105,0.035355339
"361-U1475E-3H-4, 26-28",21.219,23.64,0.014142136
"361-U1475E-3H-4, 30-32",21.259,23.795,0.035355339
"361-U1475E-3H-4, 34-36",21.299,24.64,0.169705627
"361-U1475E-3H-4, 38-40",21.339,23.7,0.19078784
"361-U1475E-3H-4, 42-44",21.379,22.845,0.134350288
"361-U1475E-3H-4, 46-48",21.419,23.655,0.091923882
"361-U1475E-3H-4, 50-52",21.459,23.395,0.077781746
"361-U1475E-3H-4, 54-56",21.499,24.6,0.127279221
"361-U1475E-3H-4, 58-60",21.539,24.1,0.127279221
"361-U1475E-3H-4, 62-64",21.579,24.41,0.315119025
"361-U1475E-3H-4, 66-68",21.619,26.71,0.098994949
"361-U1475E-3H-4, 70-72",21.659,23.92,0.242693222
"361-U1475E-3H-4, 74-76",21.699,24.525,0.091923882
"361-U1475E-3H-4, 78-80",21.739,27.325,0.120208153
"361-U1475E-3H-4, 82-84",21.779,24.71,0.084852814
"361-U1475E-3H-4, 86-88",21.819,22.31666667,0.271538825
"361-U1475E-3H-4, 90-92",21.859,24.425,0.233345238
"361-U1475E-3H-4, 94-96",21.899,24.47,0.070710678
"361-U1475E-3H-4, 98-100",21.939,23.335,0.190918831
"361-U1475E-3H-4, 102-104",21.979,23.98,0.098994949
"361-U1475E-3H-4, 106-108",22.019,23.625,0.035355339
"361-U1475E-3H-4, 110-112",22.059,24.055,0.16263456
"361-U1475E-3H-4, 114-116",22.099,22.82,0.056568542
"361-U1475E-3H-4, 118-120",22.139,22.945,0.091923882
"361-U1475E-3H-4, 122-124",22.179,24.37,0.169705627
"361-U1475E-3H-4, 126-128",22.219,23.475,0.205060967
"361-U1475E-3H-4, 130-132",22.259,23.905,0.049497475
"361-U1475E-3H-4, 134-136",22.299,24.68,0.141421356
"361-U1475E-3H-4, 138-140",22.339,25.64666667,0.221885857
"361-U1475E-3H-4, 142-144",22.379,27.06333333,0.315647483
"361-U1475E-3H-4, 146-148",22.419,25.35333333,0.288675135
