Sample ID,Depth (m),SS mean
MD02-2588-403.5,403.5,21.121
MD02-2588-404.5,404.5,22.6339
MD02-2588-405.5,405.5,21.1654
MD02-2588-406.5,406.5,21.7086
MD02-2588-407.5,407.5,20.8735
MD02-2588-408.5,408.5,20.6438
MD02-2588-409.5,409.5,21.8728
MD02-2588-410.5,410.5,20.0859
MD02-2588-411.5,411.5,23.157
MD02-2588-412.5,412.5,22.209
MD02-2588-413.5,413.5,21.0282
MD02-2588-414.5,414.5,21.7477
MD02-2588-415.5,415.5,21.2931
MD02-2588-416.5,416.5,22.5566
MD02-2588-417.5,417.5,22.303
MD02-2588-418.5,418.5,22.3454
MD02-2588-419.5,419.5,22.8016
MD02-2588-420.5,420.5,23.2326
MD02-2588-421.5,421.5,23.5996
MD02-2588-422.5,422.5,23.0385
MD02-2588-423.5,423.5,21.6805
MD02-2588-424.5,424.5,22.8365
MD02-2588-425.5,425.5,21.7036
MD02-2588-426.5,426.5,24.7746
MD02-2588-427.5,427.5,25.1701
MD02-2588-428.5,428.5,22.0964
MD02-2588-429.5,429.5,23.2588
MD02-2588-430.5,430.5,25.3165
MD02-2588-431.5,431.5,21.5647
MD02-2588-432.5,432.5,21.4493
MD02-2588-433.5,433.5,23.7737
MD02-2588-434.5,434.5,22.3013
MD02-2588-435.5,435.5,23.383
MD02-2588-436.5,436.5,21.3759
MD02-2588-437.5,437.5,23.6051
MD02-2588-438.5,438.5,22.8135
MD02-2588-439.5,439.5,24.4504
MD02-2588-440.5,440.5,23.7826
MD02-2588-441.5,441.5,21.7728
MD02-2588-442.5,442.5,23.5795
MD02-2588-443.5,443.5,25.1348
MD02-2588-444.5,444.5,25.8864
MD02-2588-445.5,445.5,22.7057
MD02-2588-446.5,446.5,22.7664
MD02-2588-447.5,447.5,22.6587
MD02-2588-448.5,448.5,23.5566
MD02-2588-449.5,449.5,23.3453
MD02-2588-450.5,450.5,22.2556
MD02-2588-451.5,451.5,23.4857
MD02-2588-452.5,452.5,21.9752
MD02-2588-453.5,453.5,24.2343
