,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std
1616,"361-U1475E-4H-4, 108-110",32.781,33.936,3.378,0.336,15,,,0,0,0,23.04,0.028284271
1617,"361-U1475E-4H-4, 112-114",32.821,33.976,3.255,0.342,15,,,1.593228778,1.593228778,2.902713897,25.095,0.148492424
1618,"361-U1475E-4H-4, 116-118",32.861,34.016,3.597,0.21,15,,,63.10013717,63.10013717,114.1533448,27.37,0.212132034
1619,"361-U1475E-4H-4, 120-122",32.901,34.056,3.296,0.681,15,,,9.793420046,9.793420046,18.33567544,25.565,0.035355339
1620,"361-U1475E-4H-4, 124-126",32.941,34.096,3.253,0.511,15,,,14.62188714,14.62188714,27.72974313,23.915,0.170782513
1621,"361-U1475E-4H-4, 128-130",32.981,34.136,3.261,0.678,15,,,9.375228887,9.375228887,17.21338014,23.66,0.155563492
1622,"361-U1475E-4H-4, 132-134",33.021,34.176,3.293,0.54,15,,,2.349917386,2.349917386,4.277386812,22.565,0.021213203
1623,"361-U1475E-4H-4, 136-138",33.061,34.216,3.332,0.785,15,,,0,0,0,25.48666667,0.223681321
1624,"361-U1475E-4H-4, 140-142",33.101,34.256,3.276,0.579,15,,,4.826182038,4.826182038,9.027694112,25.025,0.035355339
1625,"361-U1475E-4H-4, 144-146",33.141,34.296,3.259,0.663,15,,,2.491532682,2.491532682,4.654605094,24.425,0.190918831
1626,"361-U1475E-4H-4, 148-150",33.181,34.336,3.448,0.429,15,,,2.429119065,2.429119065,4.510193951,26.875,0.106066017
1627,"361-U1475E-4H-5, 2-4",33.221,34.376,3.333,0.541,14,,,3.65625491,3.65625491,7.386019908,26.425,0.219203102
1628,"361-U1475E-4H-5, 6-8",33.261,34.416,3.848,0.1,7,,,7.540352669,7.540352669,17.55104709,22.645,0.007071068
1629,"361-U1475E-4H-5, 10-12",33.301,34.456,3.941,-0.221,15,,,3.792929742,3.792929742,8.538370404,23.13,0
1630,"361-U1475E-4H-5, 14-16",33.341,34.496,3.924,-0.133,5,,,31.69362826,31.69362826,71.97439472,23.98,0.141421356
1631,"361-U1475E-4H-5, 18-20",33.381,34.536,3.783,0.444,10,,,40.34763813,40.34763813,86.26024402,24.49,0.042426407
1632,"361-U1475E-4H-5, 22-24",33.421,34.576,4.056,0.065,6,,,68.34260289,68.34260289,147.7144628,24.64,0.070710678
1633,"361-U1475E-4H-5, 26-28",33.461,34.616,3.759,-0.198,3,,,20.44075375,20.44075375,43.83184268,24.075,0.106066017
1634,"361-U1475E-4H-5, 30-32",33.501,34.656,4.16,-0.107,6,,,45.84937763,45.84937763,100.006477,23.845,0.007071068
1635,"361-U1475E-4H-5, 34-36",33.541,34.696,3.898,0.125,5,,,21.77241027,21.77241027,47.69290513,25.31,0.155563492
1636,"361-U1475E-4H-5, 38-40",33.581,34.736,3.808,0.108,8,,,72.30428051,72.30428051,155.0235982,26.515,0.007071068
